city,diesel,petrol,Petrol-Diesel Gap,Petrol Price Rank,Price Tier
Adilabad,97.1,108.83,11.73,15,Very High
Agar Malwa,92.73,107.41,14.68,64,Very High
Agra,87.83,94.73,6.9,626,Low
Ahmadnagar,90.95,104.43,13.48,229,High
Ahmedabad,90.52,94.85,4.33,600,Low
Aizawl,87.92,99.06,11.14,403,Moderate
Ajmer,89.88,104.36,14.48,231,High
Akola,91.02,104.47,13.45,225,High
Alappuzha,94.73,105.75,11.02,163,Very High
Aligarh,87.93,94.82,6.89,604,Low
Alipurduar,92.68,105.93,13.25,155,Very High
Alirajpur,93.4,108.0,14.6,36,Very High
Allahabad,88.34,95.15,6.81,566,Low
Almora,89.39,94.54,5.15,644,Low
Alwar,90.37,104.92,14.55,213,High
Ambala,88.55,95.72,7.17,518,Moderate
Ambedkarnagar,88.67,95.51,6.84,534,Low
Amethi Csm Nagar,88.33,95.16,6.83,564,Low
Amravati,91.32,104.78,13.46,220,High
Amreli,91.18,95.49,4.31,537,Low
Amritsar,88.09,97.6,9.51,458,Moderate
Amroha,88.55,95.39,6.84,548,Low
Anand,90.02,94.35,4.33,653,Low
Anantapur,96.92,109.04,12.12,10,Very High
Anantnag,83.29,97.43,14.14,470,Moderate
Angul,94.05,102.53,8.48,282,High
Anupur,93.39,107.99,14.6,45,Very High
Araria,93.8,106.94,13.14,88,Very High
Aravalli,91.37,95.69,4.32,521,Moderate
Ariyalur,93.65,102.05,8.4,300,High
Arwal,92.63,105.81,13.18,160,Very High
Ashoknagar,91.94,106.59,14.65,110,Very High
Auraiya,88.16,95.0,6.84,580,Low
Aurangabad,93.1,106.31,13.21,124,Very High
Azamgarh,88.62,95.45,6.83,542,Low
Badgam,84.82,99.63,14.81,377,Moderate
Badwani,93.39,108.0,14.61,36,Very High
Bagalkot,89.42,103.36,13.94,253,High
Bageshwar,89.01,94.01,5.0,665,Low
Baghpat,87.85,94.74,6.89,623,Low
Bahraich,88.0,94.84,6.84,602,Low
Baksa,89.72,98.5,8.78,428,Moderate
Balaghat,93.39,107.99,14.6,45,Very High
Baleshwar,92.74,101.15,8.41,344,High
Ballia,88.65,95.49,6.84,537,Low
Balod,94.0,101.07,7.07,349,Moderate
Balodabazar,93.94,101.0,7.06,353,Moderate
Balrampur,95.07,102.12,7.05,292,High
Banas Kantha,90.22,94.53,4.31,645,Low
Banda,88.54,95.37,6.83,551,Low
Bandipora,85.26,100.11,14.85,367,Moderate
Bangalore,88.99,102.92,13.93,262,High
Bangalore Rural,88.73,102.63,13.9,271,High
Banka,93.08,106.31,13.23,124,Very High
Bankura,92.07,105.27,13.2,196,High
Banswara,91.5,106.14,14.64,142,Very High
Barabanki,88.13,94.96,6.83,586,Low
Baramullah,85.53,100.43,14.9,361,Moderate
Baran,90.49,105.05,14.56,205,High
